Index,CH-2 CHWP_VSD_CMD,CH-2 CHWP_DP_1
0,0.0,3.743408203125
1,0.0,3.743408203125
2,0.0,3.34505615234375
3,0.0,2.1493408203125
4,0.0,3.7401123046875
5,0.0,3.7401123046875
6,0.0,3.34210205078125
7,0.0,1.75006103515625
8,0.0,2.147216796875
9,0.0,3.73583984375
10,0.0,3.73583984375
11,0.0,3.33701171875
12,0.0,1.74169921875
13,0.0,2.142193603515625
14,0.0,3.744171142578125
15,0.0,3.744171142578125
98,0.0,2.508270263671875
99,0.0,13.595025634765625
100,0.0,58.15035400390625
101,0.0,58.98358154296875
102,0.0,59.09814453125
103,0.0,58.967388916015615
104,0.0,59.57275390625
105,0.0,61.60936889648438
106,0.0,62.45958251953125
107,0.0,59.33514404296875
108,0.0,59.33514404296875
109,0.0,59.33514404296875
110,0.0,59.33514404296875
111,0.0,59.33514404296875
112,0.0,59.33514404296875
113,0.0,59.33514404296875
114,0.0,59.33514404296875
115,0.0,59.33514404296875
116,0.0,59.33514404296875
117,0.0,57.9335205078125
118,0.0,51.91383056640625
119,0.0,49.83094482421875
120,0.0,48.5241943359375
121,0.0,50.146038818359365
122,0.0,50.01486206054688
123,0.0,47.168267822265605
124,80.0,35.58056640625
125,100.0,35.208465576171875
126,100.0,46.846002197265605
127,100.0,86.46289672851563
128,100.0,86.45166625976563
129,100.0,86.442626953125
130,100.0,86.6146484375
131,100.0,87.26611328125
132,100.0,87.26611328125
133,100.0,94.03278198242188
134,100.0,121.4983154296875
135,100.0,122.6913330078125
136,20.0,121.06068115234379
137,0.0,120.5736083984375
138,0.0,119.35881958007812
139,0.0,120.94985961914064
140,0.0,120.94985961914064
141,0.0,120.94985961914064
142,0.0,120.94985961914064
143,0.0,120.94985961914064
144,0.0,120.94985961914064
145,60.0,120.94985961914064
146,100.0,120.94985961914064
147,100.0,120.94985961914064
148,100.0,120.94985961914064
149,100.0,120.94985961914064
150,100.0,120.94985961914064
151,100.0,120.94985961914064
152,100.0,120.94985961914064
153,100.0,120.94985961914064
154,100.0,120.94985961914064
155,100.0,120.94985961914064
156,100.0,120.94985961914064
157,100.0,120.94985961914064
