Index,CH-1 CWST,CH-1 CWRT,CH-1 FLOWRATE
0,26.46999931335449,30.53000068664551,0.0
1,26.46999931335449,30.546000289917,0.0
2,26.489999771118164,30.56999969482422,0.0
3,26.520000457763672,30.59000015258789,0.0
4,26.520000457763672,30.6200008392334,0.0
5,26.53600006103516,30.63600044250489,0.0
6,26.559999465942386,30.65999984741211,0.0
7,26.57599983215332,30.676000213623052,0.0
8,26.584000015258788,30.70000076293945,0.0
9,26.57599983215332,30.70000076293945,0.0
10,26.60000038146973,30.716000366210928,0.0
11,26.620000076293945,30.739999771118164,0.0
12,26.62999992370605,30.76000022888184,0.0
13,26.620000076293945,30.790000915527344,0.0
14,26.649999618530273,30.790000915527344,0.0
15,26.649999618530273,30.790000915527344,0.0
98,27.209999084472656,31.729999542236328,0.0
99,27.225999450683595,31.729999542236328,0.0
100,27.25,31.74599990844727,0.0
101,27.25,31.770000457763672,0.0
102,27.25,31.770000457763672,0.0
103,27.25,31.770000457763672,0.0
104,27.25,31.770000457763672,0.0
105,27.25,31.79000015258789,0.0
106,27.25,31.81999969482422,0.0
107,27.25,31.81999969482422,0.0
108,27.25,31.81999969482422,0.0
109,27.25,31.83600006103516,0.0
110,27.25,31.844000244140624,0.0
111,27.25,31.8,0.0
112,27.233999633789054,31.73800048828125,0.0
113,27.209999084472656,31.68000030517578,0.0
114,27.18999938964844,31.62399978637695,0.0
115,27.144000244140624,31.584000015258788,0.0
116,27.10400047302246,31.54399986267089,0.0
117,27.06000022888184,31.5,0.0
118,27.01400032043457,31.453999710083014,0.0
119,26.97400016784668,31.43000030517578,0.0
120,26.95000076293945,31.43000030517578,0.0
121,26.93000030517578,31.43000030517578,0.0
122,26.899999618530273,31.43000030517578,0.0
123,26.899999618530273,31.445999908447266,0.0
124,26.88400001525879,31.46999931335449,0.0
125,26.87600021362305,31.46999931335449,0.0
126,26.899999618530273,31.489999771118164,0.0
127,26.899999618530273,31.520000457763672,0.0
128,26.899999618530273,31.52800025939941,0.0
129,26.920000076293945,31.559999465942386,0.0
130,26.93000030517578,31.559999465942386,0.0
131,26.920000076293945,31.57599983215332,0.0
132,26.95000076293945,31.60000038146973,0.0
133,27.53599967956543,31.94399948120117,0.0
134,28.17199974060059,35.544000244140626,0.0
135,28.387999725341807,37.13199920654297,0.0
136,28.29200019836425,37.04799957275391,0.0
137,28.10999984741211,36.59199981689453,0.0
138,27.963999938964843,36.32000045776367,0.0
139,27.92400016784668,36.209999084472656,0.0
140,28.086000442504893,36.34599914550781,0.0
141,28.43800010681152,36.71999969482422,0.0
142,28.227999877929694,36.5379997253418,0.0
143,28.091999816894532,36.39399948120117,0.0
144,27.79200019836425,36.02799987792969,0.0
145,27.87399978637695,36.07000045776367,0.0
146,28.002000045776374,36.18199920654297,0.0
147,28.33200035095215,36.51199951171875,0.0
148,28.33200035095215,36.5379997253418,0.0
149,28.118000030517567,36.31999969482422,0.0
150,27.87800025939941,36.08200073242188,0.0
151,27.870000076293945,36.09600067138672,0.0
152,28.05200004577637,36.23399963378906,0.0
153,28.420000076293945,36.6,0.0
154,28.29200019836425,36.471998596191405,0.0
155,28.07600021362305,36.257999420166016,0.0
156,27.689999771118163,35.90600051879883,0.0
157,27.812000274658203,35.95200119018555,0.0
158,28.122000122070308,36.25999984741211,0.0
159,28.346000289917,36.49599914550781,0.0
160,28.22999992370605,36.367999267578135,0.0
161,27.915999984741212,36.055999755859375,0.0
162,27.84599952697754,35.970000457763675,0.0
163,28.10200004577637,36.19799957275391,0.0
164,28.300000381469733,36.41200027465821,0.0
165,28.206000137329106,36.344000244140624,0.0
166,27.932000350952148,36.04999923706055,0.0
167,27.85000038146973,35.90199966430664,0.0
168,28.023999786376955,36.11600036621094,0.0
169,28.377999877929692,36.46199951171875,0.0
170,28.361999893188475,36.49599914550781,0.0
171,28.117999649047853,36.258000183105466,0.0
172,27.78400001525879,35.928001403808594,0.0
173,27.8,35.902001190185544,0.0
174,27.928000259399408,36.05400085449219,0.0
175,28.334000015258788,36.41199951171875,0.0
176,28.26400032043457,36.3879997253418,0.0
177,28.13000030517578,36.21999969482422,0.0
178,27.82200012207032,35.93600006103516,0.0
179,27.905999755859376,36.00400085449219,0.0
180,28.25,36.32999954223633,0.0
181,28.381999588012697,36.47399826049805,0.0
182,28.18200073242188,36.28200073242189,0.0
183,28.094000244140624,36.217999267578115,0.0
184,28.08600006103516,36.20199890136719,0.0
185,28.110000610351573,36.25,0.0
186,28.110000610351573,36.25,0.0
187,28.110000610351573,36.25,0.0
188,28.094000244140624,36.23399963378906,0.0
189,28.05400009155273,36.19399871826172,0.0
190,28.03000068664551,36.16999816894531,0.0
191,28.01000022888184,36.14999847412109,0.0
192,28.21400032043457,36.283999633789065,0.0
193,28.43800010681152,36.5379997253418,0.0
194,28.28000068664551,36.427999877929686,0.0
195,28.17599983215332,36.34400100708008,0.0
196,28.13400001525879,36.274000549316405,0.0
197,28.110000610351573,36.25,0.0
198,28.094000244140624,36.23399963378906,0.0
199,28.007999801635734,36.147999572753896,0.0
200,27.963999938964843,36.104000091552734,0.0
201,27.976000595092767,36.09600067138672,0.0
202,28.152000045776372,36.26600036621094,0.0
203,28.274000549316405,36.4119987487793,0.0
204,28.164000701904296,36.26199951171875,0.0
205,28.120000076293945,36.236000061035156,0.0
206,27.83599967956543,35.960000610351564,0.0
207,27.78400001525879,35.930001068115224,0.0
208,27.695999908447266,35.85400161743164,0.0
209,27.912000274658205,36.028001403808595,0.0
210,28.190000152587892,36.27800064086914,0.0
211,28.3700008392334,36.489998626708974,0.0
212,28.179999923706056,36.31199951171875,0.0
